ID	Modulo	Pregunta	Opciones de respuesta
F9_2	ASCENDENCIA ETNICO-RACIAL DE LA ENTREVISTADA	9.2 Asiática o Amarilla?	1 Si, 2 No
F9_3	ASCENDENCIA ETNICO-RACIAL DE LA ENTREVISTADA	9.3 Blanca?	1 Si, 2 No
F9_4	ASCENDENCIA ETNICO-RACIAL DE LA ENTREVISTADA	9.4 Indigena?	1 Si, 2 No
F9_5	ASCENDENCIA ETNICO-RACIAL DE LA ENTREVISTADA	9.5 Otra	1 Si, 2 No
F9_5_1	ASCENDENCIA ETNICO-RACIAL DE LA ENTREVISTADA	especificar	
F10	ÁMBITO EDUCATIVO	10 ¿Asiste actualmente a algún establecimiento de enseñanza preescolar, primaria, secundaria, superior o técnica?	1 Si pase a preg. 13, 2 No
F11	CARACTERIZACIÓN EDUCATIVA DE LA ENTREVISTADA	11 Aunque no asiste actualmente, ¿asistió alguna vez a un establecimiento de enseñanza preescolar, primaria, secundaria, superior o técnica?	1 Si, 2 No pase a preg. 20
F12	CARACTERIZACIÓN EDUCATIVA DE LA ENTREVISTADA	12 En los últimos 12 meses (de setiembre de 2012 a la fecha), ¿asistió a un centro educativo?	1 Si, 2 No
F13	CARACTERIZACIÓN EDUCATIVA DE LA ENTREVISTADA	13 ¿Cuál es el nivel de educación más alto alcanzado? (En el caso de las personas que asisten indique el nivel que cursa actualmente)	1 Preescolar, 2 Primaria común, 3 Primaria especial, 4 Enseñanza técnica sin exigencias previas, 5 Ciclo Básico Liceo o UTU, 6 Bachillerato Secundario (4to a 6to), 7 Bachillerato Tecnológico UTU, 8 Terciario no universitario (incluye tecnicaturas de UTU), 9 Magisterio o Profesorado, 10 Universidad o similar, 11 Posgrado
F14	CARACTERIZACIÓN EDUCATIVA DE LA ENTREVISTADA	14 ¿Cuántos años aprobó en ese nivel?	Anote cantidad (años)
F15	CARACTERIZACIÓN EDUCATIVA DE LA ENTREVISTADA	15 ¿Finalizó el nivel mas alto indicado?	1 Si, 2 No
F16_1_2	VIOLENCIA EN EL ÁMBITO EDUCATIVO	16. Durante toda su vida de estudiante, ¿alguna autoridad del centro educativo (director/a, profesor/a, maestro/a), personal administrativo ó compañero de estudio... 16.1 La ignoró, ofendió, menosprecio, subestimó o denigró por ser mujer? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F16_1_3	VIOLENCIA EN EL ÁMBITO EDUCATIVO	¿Quién fue?, principalmente	1 Directoras/es, 2 Profesor/a(es), 3 Personal del centro educativo, 4 Compañeros/as de estudio
F16_2_2	VIOLENCIA EN EL ÁMBITO EDUCATIVO	16. Durante toda su vida de estudiante, ¿alguna autoridad del centro educativo (director/a, profesor/a, maestro/a), personal administrativo ó compañero de estudio... 16.2 Le hizo insinuaciones o propuestas de tipo sexual a cambio de mejoras en sus notas o calificaciones? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F16_2_3	VIOLENCIA EN EL ÁMBITO EDUCATIVO	¿Quién fue?, principalmente	1 Directoras/es, 2 Profesor/a(es), 3 Personal del centro educativo, 4 Compañeros/as de estudio
F16_3_2	VIOLENCIA EN EL ÁMBITO EDUCATIVO	16. Durante toda su vida de estudiante, ¿alguna autoridad del centro educativo (director/a, profesor/a, maestro/a), personal administrativo ó compañero de estudio... 16.3 Tomó represalias contra usted por haberse negado a sus pretensiones? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F16_3_3	VIOLENCIA EN EL ÁMBITO EDUCATIVO	¿Quién fue?, principalmente	1 Directoras/es, 2 Profesor/a(es), 3 Personal del centro educativo, 4 Compañeros/as de estudio
F16_4_2	VIOLENCIA EN EL ÁMBITO EDUCATIVO	16. Durante toda su vida de estudiante, ¿alguna autoridad del centro educativo (director/a, profesor/a, maestro/a), personal administrativo ó compañero de estudio... 16.4 Tocó su cuerpo sin su consentimiento? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F16_4_3	VIOLENCIA EN EL ÁMBITO EDUCATIVO	¿Quién fue?, principalmente	1 Directoras/es, 2 Profesor/a(es), 3 Personal del centro educativo, 4 Compañeros/as de estudio
F16_5_2	VIOLENCIA EN EL ÁMBITO EDUCATIVO	16. Durante toda su vida de estudiante, ¿alguna autoridad del centro educativo (director/a, profesor/a, maestro/a), personal administrativo ó compañero de estudio... 16.5 La obligó a tener relaciones sexuales o intento forzarla a tener relaciones sexuales? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F16_5_3	VIOLENCIA EN EL ÁMBITO EDUCATIVO	¿Quién fue?, principalmente	1 Directoras/es, 2 Profesor/a(es), 3 Personal del centro educativo, 4 Compañeros/as de estudio
F16_6_2	VIOLENCIA EN EL ÁMBITO EDUCATIVO	16. Durante toda su vida de estudiante, ¿alguna autoridad del centro educativo (director/a, profesor/a, maestro/a), personal administrativo ó compañero de estudio... 16.6 La obligó a realizar actos sexuales o a tener relaciones sexuales a cambio de dinero u otros beneficios? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F16_6_3	VIOLENCIA EN EL ÁMBITO EDUCATIVO	¿Quién fue?, principalmente	1 Directoras/es, 2 Profesor/a(es), 3 Personal del centro educativo, 4 Compañeros/as de estudio
F17	BÚSQUEDA DE AYUDA	17. Antes de esta entrevista ¿había hablado con alguien sobre esto que le ocurrió? (Condición: Si P16 tuvo al menos un Si)	1 Si, 2 No pase a preg. 19
F18_1	BÚSQUEDA DE AYUDA	18.1 Acudió a solicitar orientación e información (Condición: Si P16 tuvo frec 1, 2 o 3)	1 Si, 2 No
F18_2	BÚSQUEDA DE AYUDA	18.2 Acudió a solicitar apoyo legal.... (Condición: Si P16 tuvo frec 1, 2 o 3)	1 Si, 2 No
F18_3	BÚSQUEDA DE AYUDA	18.3 Acudió a solicitar apoyo psicológico (Condición: Si P16 tuvo frec 1, 2 o 3)	1 Si, 2 No
F18_4	BÚSQUEDA DE AYUDA	18.4 Realizó alguna denuncia administrativa en el centro educativo (Condición: Si P16 tuvo frec 1, 2 o 3)	1 Si, 2 No
F18_5	BÚSQUEDA DE AYUDA	18.5 Denuncio ante la Policia. (Condición: Si P16 tuvo frec 1, 2 o 3)	1 Si, 2 No
F18_6	BÚSQUEDA DE AYUDA	18.6 Otro..... (Condición: Si P16 tuvo frec 1, 2 o 3)	1 Si, 2 No
F19_1	BÚSQUEDA DE AYUDA	19.1 Por vergüenza (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_2	BÚSQUEDA DE AYUDA	19.2 Pensó que no le iban a creer...... (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_3	BÚSQUEDA DE AYUDA	19.3 Por miedo de las consecuencias (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_4	BÚSQUEDA DE AYUDA	19.4 La amenazaron. (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_5	BÚSQUEDA DE AYUDA	19.5 Porque se trato de un hecho sin importancia. (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_6	BÚSQUEDA DE AYUDA	19.6 No sabía como y dónde denunciar. (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_7	BÚSQUEDA DE AYUDA	19.7 No sabía que existen instituciones de apoyo (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_8	BÚSQUEDA DE AYUDA	19.8 No confía en las autoridades o en la respuesta de las autoridades del centro educativo (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_9	BÚSQUEDA DE AYUDA	19.9 No confia en las autoridades policiales o judiciales o en su respuesta ante el problema (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F19_10	BÚSQUEDA DE AYUDA	19.10 No sabía qué podía denunciar. (Condición: Si P17=2 o todo P18=2)	1 Si, 2 No
F20_1_2	VIOLENCIA EN LUGARES PÚBLICOS	20. Alguna vez en lugares públicos como la calle, transporte, lugares de diversión o fiesta, parques, deportivos, iglesias, servicios de salud, ¿le ha ocurrido que alguna persona conocida o desconocida (No considere a personas de su familia o pareja): 20.1 La ofendió o denigró con frases o palabras obscenas de tipo sexual por ser mujer //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F20_1_3	VIOLENCIA EN LUGARES PÚBLICOS	¿Quién fue principalmente?	1 Conocido, amigo, vecino, 2 Policia, militar, 3 Sacerdote, ministro de culto o religioso, 4 Médico/a, enfermero/a u otro personal de salud, 5 Desconocido, 6 Otro
F20_2_2	VIOLENCIA EN LUGARES PÚBLICOS	20. Alguna vez en lugares públicos como la calle, transporte, lugares de diversión o fiesta, parques, deportivos, iglesias, servicios de salud, ¿le ha ocurrido que alguna persona conocida o desconocida (No considere a personas de su familia o pareja): 20.2 Hizo que sintiera miedo de sufrir un ataque o abuso sexual? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F20_2_3	VIOLENCIA EN LUGARES PÚBLICOS	¿Quién fue principalmente?	1 Conocido, amigo, vecino, 2 Policia, militar, 3 Sacerdote, ministro de culto o religioso, 4 Médico/a, enfermero/a u otro personal de salud, 5 Desconocido, 6 Otro
F20_3_2	VIOLENCIA EN LUGARES PÚBLICOS	20. Alguna vez en lugares públicos como la calle, transporte, lugares de diversión o fiesta, parques, deportivos, iglesias, servicios de salud, ¿le ha ocurrido que alguna persona conocida o desconocida (No considere a personas de su familia o pareja): 20.3 Tocó su cuerpo sin su consentimiento? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F20_3_3	VIOLENCIA EN LUGARES PÚBLICOS	¿Quién fue principalmente?	1 Conocido, amigo, vecino, 2 Policia, militar, 3 Sacerdote, ministro de culto o religioso, 4 Médico/a, enfermero/a u otro personal de salud, 5 Desconocido, 6 Otro
F20_4_2	VIOLENCIA EN LUGARES PÚBLICOS	20. Alguna vez en lugares públicos como la calle, transporte, lugares de diversión o fiesta, parques, deportivos, iglesias, servicios de salud, ¿le ha ocurrido que alguna persona conocida o desconocida (No considere a personas de su familia o pareja): 20.4 La obligó a tener relaciones sexuales o intento forzarla a tener relaciones sexuales? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F20_4_3	VIOLENCIA EN LUGARES PÚBLICOS	¿Quién fue principalmente?	1 Conocido, amigo, vecino, 2 Policia, militar, 3 Sacerdote, ministro de culto o religioso, 4 Médico/a, enfermero/a u otro personal de salud, 5 Desconocido, 6 Otro
F20_5_2	VIOLENCIA EN LUGARES PÚBLICOS	20. Alguna vez en lugares públicos como la calle, transporte, lugares de diversión o fiesta, parques, deportivos, iglesias, servicios de salud, ¿le ha ocurrido que alguna persona conocida o desconocida (No considere a personas de su familia o pareja): 20.5 La obligaron a realizar actos sexuales o a tener relaciones sexuales a cambio de dinero //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió…	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F20_5_3	VIOLENCIA EN LUGARES PÚBLICOS	¿Quién fue principalmente?	1 Conocido, amigo, vecino, 2 Policia, militar, 3 Sacerdote, ministro de culto o religioso, 4 Médico/a, enfermero/a u otro personal de salud, 5 Desconocido, 6 Otro
F21	BÚSQUEDA DE AYUDA	21. Antes de esta entrevista ¿había hablado con alguien sobre esto que le ocurrió? (Condición: Si P20 tuvo al menos un Si)	1 Si, 2 No pase a preg. 24
F22_1	BÚSQUEDA DE AYUDA	22.1 Acudió a solicitar orientación e información (Condición: Si P20 tuvo frec 1, 2 o 3)	1 Si, 2 No
F22_2	BÚSQUEDA DE AYUDA	22.2 Acudió a solicitar apoyo legal (Condición: Si P20 tuvo frec 1, 2 o 3)	1 Si, 2 No
F22_3	BÚSQUEDA DE AYUDA	22.3 Acudió a solicitar apoyo psicológico. (Condición: Si P20 tuvo frec 1, 2 o 3)	1 Si, 2 No
F22_4	BÚSQUEDA DE AYUDA	22.4 Denuncio ante la Policía.... (Condición: Si P20 tuvo frec 1, 2 o 3)	1 Si, 2 No
F22_5	BÚSQUEDA DE AYUDA	22.5 Otro.. (Condición: Si P20 tuvo frec 1, 2 o 3)	1 Si, 2 No
F23_1	BÚSQUEDA DE AYUDA	23.1 Por vergüenza (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F23_2	BÚSQUEDA DE AYUDA	23.2 Pensó que no le iban a creer.. (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F23_3	BÚSQUEDA DE AYUDA	23.3 Por miedo de las consecuencias. (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F23_4	BÚSQUEDA DE AYUDA	23.4 La amenazaron. (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F23_5	BÚSQUEDA DE AYUDA	23.5 Porque se trato de un hecho sin importancia. (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F23_6	BÚSQUEDA DE AYUDA	23.6 No sabía cómo y donde denunciar. (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F23_7	BÚSQUEDA DE AYUDA	23.7 No sabia que existen instituciones de apoyo (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F23_8	BÚSQUEDA DE AYUDA	23.8 No confia en las autoridades policiales o judiciales o en su respuesta ante el problema. (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F23_9	BÚSQUEDA DE AYUDA	23.9 No sabía qué podía denunciar (Condición: Si P21=2 o todo P22=2)	1 Si, 2 No
F24	CARACTERIZACIÓN DE LA ACTIVIDAD LABORAL DE LA ENTREVISTADA	24. Durante la semana pasada, ¿trabajó por lo menos una hora sin considerar los quehaceres de su hogar?	1 Si pase a preg. 27, 2 No.
F25	CARACTERIZACIÓN DE LA ACTIVIDAD LABORAL DE LA ENTREVISTADA	25 ¿Hizo algo para afuera o ayudó en un negocio o colaboró en el cuidado de animales, cultivos o huertas que no fuera para su consumo propio?	1 Si pase a preg. 27, 2 No
F26	CARACTERIZACIÓN DE LA ACTIVIDAD LABORAL DE LA ENTREVISTADA	26 Aunque no trabajó la semana pasada, ¿tiene algún trabajo o negocio al que seguro volverá?	1 Si pase a preg. 27, 2 No.
F26_1	CARACTERIZACIÓN DE LA ACTIVIDAD LABORAL DE LA ENTREVISTADA	Durante la semana pasada, ¿estuvo buscando trabajo o tratando de establecer su propio negocio?	1 Si, 2 No
F27	CARACTERIZACIÓN DE LA ACTIVIDAD LABORAL DE LA ENTREVISTADA	27 En su trabajo principal es...	1 Asalariada privada, 2 Asalariada pública, 3 Miembro de cooperativa de producción, 4 Patrona, 5 Cuenta propia sin local ni inversión, 6 Cuenta propia con local o inversión, 7 Miembro del hogar no remunerado, 8 Trabajadora de Programa social de empleo.
F28	CARACTERIZACIÓN DE LA ACTIVIDAD LABORAL DE LA ENTREVISTADA	28 ¿Es jubilada o pensionista?	1 Si, 2 No
F29	CARACTERIZACIÓN DE LA ACTIVIDAD LABORAL DE LA ENTREVISTADA	29 ¿Es quién realiza los quehaceres de su hogar?	1 Si, 2 No pase a tabla
F30_1_1	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.1 Por su trabajo o ganancias? (Último mes)	1 Si, 2 No
F30_1_2	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.1 Por su trabajo o ganancias? (Últimos 12 meses)	1 Si, 2 No
F30_2_1	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.2 Por pensión ó jubilación? (Último mes)	1 Si, 2 No
F30_2_2	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.2 Por pensión ó jubilación? (Últimos 12 meses)	1 Si, 2 No
F30_3_1	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.3 Por ayuda de algún familiar? (Último mes)	1 Si, 2 No
F30_3_2	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.3 Por ayuda de algún familiar? (Últimos 12 meses)	1 Si, 2 No
F30_4_1	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.4 Por apoyos del Estado (asignaciones familiars, tarjetas MIDES, etc.? (Último mes)	1 Si, 2 No
F30_4_2	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.4 Por apoyos del Estado (asignaciones familiars, tarjetas MIDES, etc.? (Últimos 12 meses)	1 Si, 2 No
F30_5_1	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.5 Por renta de alguna propiedad, terreno, campo, intereses bancarios? (Último mes)	1 Si, 2 No
F30_5_2	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.5 Por renta de alguna propiedad, terreno, campo, intereses bancarios? (Últimos 12 meses)	1 Si, 2 No
F30_6_1	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.6 De ahorros que puede disponer periódicamente? (Último mes)	1 Si, 2 No
F30_6_2	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.6 De ahorros que puede disponer periódicamente? (Últimos 12 meses)	1 Si, 2 No
F30_7_1	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.7 Otro (Último mes)	1 Si, 2 No
F30_7_2	INGRESOS PROPIOS	30. ¿Cuenta con ingresos propios (solo incluya ingresos monetarios).... 30.7 Otro (Últimos 12 meses)	1 Si, 2 No
F31	SITUACIÓN LABORAL DE LA ENTREVISTADA EN LOS ÚLTIMOS 12 MESES	31 En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿trabajó por lo menos una hora sin considerar los quehaceres de su hogar?	1 Si, 2 No. pase a preg. 33
F32	SITUACIÓN LABORAL DE LA ENTREVISTADA EN LOS ÚLTIMOS 12 MESES	32 En su trabajo principal usted era/es... Se refiere al trabajo sobre el que responde en la pregunta 31, si tuvo más de uno responde por el principal.	1 Asalariada privada. pase a preg. 34., 2 Asalariada pública pase a preg. 34, 3 Miembro de cooperativa de producción pase a preg. 33, 4 Patrona pase a preg. 33, 5 Cuenta propia sin local ni inversión. pase a preg. 33, 6 Cuenta propia con local o inversión pase a preg. 33, 7 Miembro del hogar no remunerado pase a preg. 33, 8 Trabajadora de Programa social de empleo. pase a preg. 34
F33	SITUACIÓN LABORAL DE LA ENTREVISTADA EN LOS ÚLTIMOS 12 MESES	33 ¿Ha trabajado antes (en su vida) por un jornal o salario, es decir bajo relación de dependencia?	1 Si pase a preg. 39, 2 No. pase a tabla
F34_1_1	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.1 ¿Le pidieron la prueba de embarazo como requisito para entrar o se lo han pedido como requisito para continuar?	1 Si, 2 No
F34_1_2	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.1 ¿Le pidieron la prueba de embarazo como requisito para entrar o se lo han pedido como requisito para continuar? //En los últimos 12 meses(, de setiembre 2012 a la fecha) ¿Esto ocurrió?	1 Si, 2 No
F34_2_1	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.2 ¿La despidieron, no le renovaron el contrato, le bajaron el salario o la perjudicaron de alguna manera por estar embarazada?	1 Si, 2 No, 9 No aplica (Nunca estuvo embarazada)
F34_2_2	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.2 ¿La despidieron, no le renovaron el contrato, le bajaron el salario o la perjudicaron de alguna manera por estar embarazada? //En los últimos 12 meses(, de setiembre 2012 a la fecha) ¿Esto ocurrió?	1 Si, 2 No
F34_3_1	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.3 ¿Le negaron el permiso de maternidad o lactancia?	1 Si, 2 No, 9 No aplica (Nunca estuvo embarazada)
F34_3_2	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.3 ¿Le negaron el permiso de maternidad o lactancia? //En los últimos 12 meses(, de setiembre 2012 a la fecha) ¿Esto ocurrió?	1 Si, 2 No
F34_4_1	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.4 ¿Le impidieron, limitaron o negaron tomarse el día para la realización de papanicolau o mamografia?	1 Si, 2 No
F34_4_2	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.4 ¿Le impidieron, limitaron o negaron tomarse el día para la realización de papanicolau o mamografia? //En los últimos 12 meses(, de setiembre 2012 a la fecha) ¿Esto ocurrió?	1 Si, 2 No
F34_5_1	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.5 ¿Tuvo menos oportunidad para ascender que un hombre?	1 Si, 2 No
F34_5_2	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.5 ¿Tuvo menos oportunidad para ascender que un hombre? //En los últimos 12 meses(, de setiembre 2012 a la fecha) ¿Esto ocurrió?	1 Si, 2 No
F34_6_1	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.6 ¿Debido a su estado civil o por tener hijos pequeños, la despidieron o no la contrataron?	1 Si, 2 No
F34_6_2	VIOLENCIA EN EL ÁMBITO LABORAL	34. Durante su vida laboral, ¿usted vivió alguna de las siguientes situaciones en sus trabajos? 34.6 ¿Debido a su estado civil o por tener hijos pequeños, la despidieron o no la contrataron? //En los últimos 12 meses(, de setiembre 2012 a la fecha) ¿Esto ocurrió?	1 Si, 2 No
F35_1_1	VIOLENCIA EN EL ÁMBITO LABORAL	35. A lo largo de su vida laboral ¿algún jefe/a, directivo/a o compañero/a de trabajo: 35.1 La ignoró, ofendió, menosprecio, subestimó o denigró por ser mujer?	1 Si, 2 No
F35_1_2	VIOLENCIA EN EL ÁMBITO LABORAL	35. A lo largo de su vida laboral ¿algún jefe/a, directivo/a o compañero/a de trabajo: 35.1 La ignoró, ofendió, menosprecio, subestimó o denigró por ser mujer? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió...	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F35_1_3	VIOLENCIA EN EL ÁMBITO LABORAL	¿Quién fue principalmente?	1 Jefe/a o Directivo/a., 2 Compañero/a de trabajo
F35_2_1	VIOLENCIA EN EL ÁMBITO LABORAL	35. A lo largo de su vida laboral ¿algún jefe/a, directivo/a o compañero/a de trabajo: 35.2 Le hizo insinuaciones o propuestas de tipo sexual a cambio de mejoras en el trabajo?	1 Si, 2 No
F35_2_2	VIOLENCIA EN EL ÁMBITO LABORAL	35. A lo largo de su vida laboral ¿algún jefe/a, directivo/a o compañero/a de trabajo: 35.2 Le hizo insinuaciones o propuestas de tipo sexual a cambio de mejoras en el trabajo? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió...	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F35_2_3	VIOLENCIA EN EL ÁMBITO LABORAL	¿Quién fue principalmente?	1 Jefe/a o Directivo/a., 2 Compañero/a de trabajo
F35_3_1	VIOLENCIA EN EL ÁMBITO LABORAL	35. A lo largo de su vida laboral ¿algún jefe/a, directivo/a o compañero/a de trabajo: 35.3 Tomó represalias contra usted por haberse negado a sus pretensiones?	1 Si, 2 No
F35_3_2	VIOLENCIA EN EL ÁMBITO LABORAL	35. A lo largo de su vida laboral ¿algún jefe/a, directivo/a o compañero/a de trabajo: 35.3 Tomó represalias contra usted por haberse negado a sus pretensiones? //En los últimos 12 meses (de setiembre de 2012 a la fecha) ¿Esto ocurrió...	1 Una vez, 2 Pocas veces, 3 Muchas veces, 4 Ninguna vez
F35_3_3	VIOLENCIA EN EL ÁMBITO LABORAL	¿Quién fue principalmente?	1 Jefe/a o Directivo/a., 2 Compañero/a de trabajo
F35_4_1	VIOLENCIA EN EL ÁMBITO LABORAL	35. A lo largo de su vida laboral ¿algún jefe/a, directivo/a o compañero/a de trabajo: 35.4 Le tocó el cuerpo sin su consentimiento?	1 Si, 2 No
